"Group.1","Group.2","Number_of_relationship_type","Relationship_type"
"E. G. Puckett","E. Bredow",1,"co-hacks"
"E. G. Puckett","I. Rose",3,"co-hacks"
"E. G. Puckett","J. Austermann",4,"co-hacks"
"E. G. Puckett","J. Perry-Houts",1,"co-hacks"
"E. G. Puckett","J. Dannberg",4,"co-hacks"
"E. G. Puckett","K. Moore",1,"co-hacks"
"E. G. Puckett","L. Hwang",4,"co-hacks"
"E. G. Puckett","L. H. Kellogg",2,"co-hacks"
"E. G. Puckett","M. Rudolph",1,"co-hacks"
"E. G. Puckett","M. Fraters",4,"co-hacks"
"E. G. Puckett","R. Gassmöller",4,"co-hacks"
"E. G. Puckett","R. Grove",2,"co-hacks"
"E. G. Puckett","S. Stamps",1,"co-hacks"
"E. G. Puckett","S. Tarlow",1,"co-hacks"
"E. G. Puckett","S. Liu",3,"co-hacks"
"E. G. Puckett","T. Heister",4,"co-hacks"
"E. G. Puckett","W. Bangerth",4,"co-hacks"
"E. G. Puckett","Y. He",3,"co-hacks"
"E. Bredow","I. Rose",1,"co-hacks"
"E. Bredow","J. Austermann",1,"co-hacks"
"E. Bredow","J. Perry-Houts",1,"co-hacks"
"E. Bredow","J. Dannberg",1,"co-hacks"
"E. Bredow","K. Moore",1,"co-hacks"
"E. Bredow","L. Hwang",1,"co-hacks"
"E. Bredow","L. H. Kellogg",1,"co-hacks"
"E. Bredow","M. Rudolph",1,"co-hacks"
"E. Bredow","M. Fraters",1,"co-hacks"
"E. Bredow","R. Gassmöller",1,"co-hacks"
"E. Bredow","R. Grove",1,"co-hacks"
"E. Bredow","S. Stamps",1,"co-hacks"
"E. Bredow","S. Tarlow",1,"co-hacks"
"E. Bredow","S. Liu",1,"co-hacks"
"E. Bredow","T. Heister",1,"co-hacks"
"E. Bredow","W. Bangerth",1,"co-hacks"
"E. Bredow","Y. He",1,"co-hacks"
"I. Rose","J. Austermann",4,"co-hacks"
"I. Rose","J. Perry-Houts",1,"co-hacks"
"I. Rose","J. Dannberg",4,"co-hacks"
"I. Rose","K. Moore",1,"co-hacks"
"I. Rose","L. Hwang",3,"co-hacks"
"I. Rose","L. H. Kellogg",2,"co-hacks"
"I. Rose","M. Rudolph",1,"co-hacks"
"I. Rose","M. Fraters",4,"co-hacks"
"I. Rose","R. Gassmöller",4,"co-hacks"
"I. Rose","R. Grove",3,"co-hacks"
"I. Rose","S. Stamps",2,"co-hacks"
"I. Rose","S. Tarlow",1,"co-hacks"
"I. Rose","S. Liu",3,"co-hacks"
"I. Rose","T. Heister",4,"co-hacks"
"I. Rose","W. Bangerth",4,"co-hacks"
"I. Rose","Y. He",3,"co-hacks"
"J. Austermann","J. Perry-Houts",1,"co-hacks"
"J. Austermann","J. Dannberg",5,"co-hacks"
"J. Austermann","K. Moore",1,"co-hacks"
"J. Austermann","L. Hwang",4,"co-hacks"
"J. Austermann","L. H. Kellogg",2,"co-hacks"
"J. Austermann","M. Rudolph",1,"co-hacks"
"J. Austermann","M. Fraters",5,"co-hacks"
"J. Austermann","R. Gassmöller",5,"co-hacks"
"J. Austermann","R. Grove",3,"co-hacks"
"J. Austermann","S. Stamps",2,"co-hacks"
"J. Austermann","S. Tarlow",1,"co-hacks"
"J. Austermann","S. Liu",3,"co-hacks"
"J. Austermann","T. Heister",5,"co-hacks"
"J. Austermann","W. Bangerth",5,"co-hacks"
"J. Austermann","Y. He",3,"co-hacks"
"J. Perry-Houts","J. Dannberg",1,"co-hacks"
"J. Perry-Houts","K. Moore",1,"co-hacks"
"J. Perry-Houts","L. Hwang",1,"co-hacks"
"J. Perry-Houts","L. H. Kellogg",1,"co-hacks"
"J. Perry-Houts","M. Rudolph",1,"co-hacks"
"J. Perry-Houts","M. Fraters",1,"co-hacks"
"J. Perry-Houts","R. Gassmöller",1,"co-hacks"
"J. Perry-Houts","R. Grove",1,"co-hacks"
"J. Perry-Houts","S. Stamps",1,"co-hacks"
"J. Perry-Houts","S. Tarlow",1,"co-hacks"
"J. Perry-Houts","S. Liu",1,"co-hacks"
"J. Perry-Houts","T. Heister",1,"co-hacks"
"J. Perry-Houts","W. Bangerth",1,"co-hacks"
"J. Perry-Houts","Y. He",1,"co-hacks"
"J. Dannberg","K. Moore",1,"co-hacks"
"J. Dannberg","L. Hwang",4,"co-hacks"
"J. Dannberg","L. H. Kellogg",2,"co-hacks"
"J. Dannberg","M. Rudolph",1,"co-hacks"
"J. Dannberg","M. Fraters",5,"co-hacks"
"J. Dannberg","R. Gassmöller",5,"co-hacks"
"J. Dannberg","R. Grove",3,"co-hacks"
"J. Dannberg","S. Stamps",2,"co-hacks"
"J. Dannberg","S. Tarlow",1,"co-hacks"
"J. Dannberg","S. Liu",3,"co-hacks"
"J. Dannberg","T. Heister",5,"co-hacks"
"J. Dannberg","W. Bangerth",5,"co-hacks"
"J. Dannberg","Y. He",3,"co-hacks"
"K. Moore","L. Hwang",1,"co-hacks"
"K. Moore","L. H. Kellogg",1,"co-hacks"
"K. Moore","M. Rudolph",1,"co-hacks"
"K. Moore","M. Fraters",1,"co-hacks"
"K. Moore","R. Gassmöller",1,"co-hacks"
"K. Moore","R. Grove",1,"co-hacks"
"K. Moore","S. Stamps",1,"co-hacks"
"K. Moore","S. Tarlow",1,"co-hacks"
"K. Moore","S. Liu",1,"co-hacks"
"K. Moore","T. Heister",1,"co-hacks"
"K. Moore","W. Bangerth",1,"co-hacks"
"K. Moore","Y. He",1,"co-hacks"
"L. Hwang","L. H. Kellogg",2,"co-hacks"
"L. Hwang","M. Rudolph",1,"co-hacks"
"L. Hwang","M. Fraters",4,"co-hacks"
"L. Hwang","R. Gassmöller",4,"co-hacks"
"L. Hwang","R. Grove",2,"co-hacks"
"L. Hwang","S. Stamps",1,"co-hacks"
"L. Hwang","S. Tarlow",1,"co-hacks"
"L. Hwang","S. Liu",3,"co-hacks"
"L. Hwang","T. Heister",4,"co-hacks"
"L. Hwang","W. Bangerth",4,"co-hacks"
"L. Hwang","Y. He",3,"co-hacks"
"L. H. Kellogg","M. Rudolph",1,"co-hacks"
"L. H. Kellogg","M. Fraters",2,"co-hacks"
"L. H. Kellogg","R. Gassmöller",2,"co-hacks"
"L. H. Kellogg","R. Grove",1,"co-hacks"
"L. H. Kellogg","S. Stamps",1,"co-hacks"
"L. H. Kellogg","S. Tarlow",1,"co-hacks"
"L. H. Kellogg","S. Liu",2,"co-hacks"
"L. H. Kellogg","T. Heister",2,"co-hacks"
"L. H. Kellogg","W. Bangerth",2,"co-hacks"
"L. H. Kellogg","Y. He",2,"co-hacks"
"M. Rudolph","M. Fraters",1,"co-hacks"
"M. Rudolph","R. Gassmöller",1,"co-hacks"
"M. Rudolph","R. Grove",1,"co-hacks"
"M. Rudolph","S. Stamps",1,"co-hacks"
"M. Rudolph","S. Tarlow",1,"co-hacks"
"M. Rudolph","S. Liu",1,"co-hacks"
"M. Rudolph","T. Heister",1,"co-hacks"
"M. Rudolph","W. Bangerth",1,"co-hacks"
"M. Rudolph","Y. He",1,"co-hacks"
"M. Fraters","R. Gassmöller",5,"co-hacks"
"M. Fraters","R. Grove",3,"co-hacks"
"M. Fraters","S. Stamps",2,"co-hacks"
"M. Fraters","S. Tarlow",1,"co-hacks"
"M. Fraters","S. Liu",3,"co-hacks"
"M. Fraters","T. Heister",5,"co-hacks"
"M. Fraters","W. Bangerth",5,"co-hacks"
"M. Fraters","Y. He",3,"co-hacks"
"R. Gassmöller","R. Grove",3,"co-hacks"
"R. Gassmöller","S. Stamps",2,"co-hacks"
"R. Gassmöller","S. Tarlow",1,"co-hacks"
"R. Gassmöller","S. Liu",3,"co-hacks"
"R. Gassmöller","T. Heister",5,"co-hacks"
"R. Gassmöller","W. Bangerth",5,"co-hacks"
"R. Gassmöller","Y. He",3,"co-hacks"
"R. Grove","S. Stamps",2,"co-hacks"
"R. Grove","S. Tarlow",1,"co-hacks"
"R. Grove","S. Liu",2,"co-hacks"
"R. Grove","T. Heister",3,"co-hacks"
"R. Grove","W. Bangerth",3,"co-hacks"
"R. Grove","Y. He",2,"co-hacks"
"S. Stamps","S. Tarlow",1,"co-hacks"
"S. Stamps","S. Liu",1,"co-hacks"
"S. Stamps","T. Heister",2,"co-hacks"
"S. Stamps","W. Bangerth",2,"co-hacks"
"S. Stamps","Y. He",1,"co-hacks"
"S. Tarlow","S. Liu",1,"co-hacks"
"S. Tarlow","T. Heister",1,"co-hacks"
"S. Tarlow","W. Bangerth",1,"co-hacks"
"S. Tarlow","Y. He",1,"co-hacks"
"S. Liu","T. Heister",3,"co-hacks"
"S. Liu","W. Bangerth",3,"co-hacks"
"S. Liu","Y. He",3,"co-hacks"
"T. Heister","W. Bangerth",5,"co-hacks"
"T. Heister","Y. He",3,"co-hacks"
"W. Bangerth","Y. He",3,"co-hacks"
"A. Glerum","A. Tutu",1,"co-hacks"
"A. Glerum","B. Smith",1,"co-hacks"
"A. Glerum","C. Thieulot",5,"co-hacks"
"A. Glerum","E. G. Puckett",4,"co-hacks"
"A. Glerum","H. Lokavarapu",2,"co-hacks"
"A. Glerum","I. Rose",4,"co-hacks"
"A. Glerum","J. Austermann",5,"co-hacks"
"A. Glerum","J. Naliboff",3,"co-hacks"
"A. Glerum","J. M. Robey",1,"co-hacks"
"A. Glerum","J. Dannberg",5,"co-hacks"
"A. Glerum","L. Hwang",4,"co-hacks"
"A. Glerum","L. H. Kellogg",2,"co-hacks"
"A. Glerum","M. Fraters",5,"co-hacks"
"A. Glerum","R. Gassmöller",5,"co-hacks"
"A. Glerum","S. P. Cox",1,"co-hacks"
"A. Glerum","S. Liu",3,"co-hacks"
"A. Glerum","T. Rajaonarison",1,"co-hacks"
"A. Glerum","T. Heister",5,"co-hacks"
"A. Glerum","W. Bangerth",5,"co-hacks"
"A. Glerum","Y. He",3,"co-hacks"
"A. Tutu","B. Smith",1,"co-hacks"
"A. Tutu","C. Thieulot",1,"co-hacks"
"A. Tutu","E. G. Puckett",1,"co-hacks"
"A. Tutu","H. Lokavarapu",1,"co-hacks"
"A. Tutu","I. Rose",1,"co-hacks"
"A. Tutu","J. Austermann",1,"co-hacks"
"A. Tutu","J. Naliboff",1,"co-hacks"
"A. Tutu","J. M. Robey",1,"co-hacks"
"A. Tutu","J. Dannberg",1,"co-hacks"
"A. Tutu","L. Hwang",1,"co-hacks"
"A. Tutu","L. H. Kellogg",1,"co-hacks"
"A. Tutu","M. Fraters",1,"co-hacks"
"A. Tutu","R. Gassmöller",1,"co-hacks"
"A. Tutu","S. P. Cox",1,"co-hacks"
"A. Tutu","S. Liu",1,"co-hacks"
"A. Tutu","T. Rajaonarison",1,"co-hacks"
"A. Tutu","T. Heister",1,"co-hacks"
"A. Tutu","W. Bangerth",1,"co-hacks"
"A. Tutu","Y. He",1,"co-hacks"
"B. Smith","C. Thieulot",1,"co-hacks"
"B. Smith","E. G. Puckett",1,"co-hacks"
"B. Smith","H. Lokavarapu",1,"co-hacks"
"B. Smith","I. Rose",1,"co-hacks"
"B. Smith","J. Austermann",1,"co-hacks"
"B. Smith","J. Naliboff",1,"co-hacks"
"B. Smith","J. M. Robey",1,"co-hacks"
"B. Smith","J. Dannberg",1,"co-hacks"
"B. Smith","L. Hwang",1,"co-hacks"
"B. Smith","L. H. Kellogg",1,"co-hacks"
"B. Smith","M. Fraters",1,"co-hacks"
"B. Smith","R. Gassmöller",1,"co-hacks"
"B. Smith","S. P. Cox",1,"co-hacks"
"B. Smith","S. Liu",1,"co-hacks"
"B. Smith","T. Rajaonarison",1,"co-hacks"
"B. Smith","T. Heister",1,"co-hacks"
"B. Smith","W. Bangerth",1,"co-hacks"
"B. Smith","Y. He",1,"co-hacks"
"C. Thieulot","E. G. Puckett",4,"co-hacks"
"C. Thieulot","H. Lokavarapu",2,"co-hacks"
"C. Thieulot","I. Rose",4,"co-hacks"
"C. Thieulot","J. Austermann",5,"co-hacks"
"C. Thieulot","J. Naliboff",3,"co-hacks"
"C. Thieulot","J. M. Robey",1,"co-hacks"
"C. Thieulot","J. Dannberg",5,"co-hacks"
"C. Thieulot","L. Hwang",4,"co-hacks"
"C. Thieulot","L. H. Kellogg",2,"co-hacks"
"C. Thieulot","M. Fraters",5,"co-hacks"
"C. Thieulot","R. Gassmöller",5,"co-hacks"
"C. Thieulot","S. P. Cox",1,"co-hacks"
"C. Thieulot","S. Liu",3,"co-hacks"
"C. Thieulot","T. Rajaonarison",1,"co-hacks"
"C. Thieulot","T. Heister",5,"co-hacks"
"C. Thieulot","W. Bangerth",5,"co-hacks"
"C. Thieulot","Y. He",3,"co-hacks"
"E. G. Puckett","H. Lokavarapu",2,"co-hacks"
"E. G. Puckett","I. Rose",3,"co-hacks"
"E. G. Puckett","J. Austermann",4,"co-hacks"
"E. G. Puckett","J. Naliboff",3,"co-hacks"
"E. G. Puckett","J. M. Robey",1,"co-hacks"
"E. G. Puckett","J. Dannberg",4,"co-hacks"
"E. G. Puckett","L. Hwang",4,"co-hacks"
"E. G. Puckett","L. H. Kellogg",2,"co-hacks"
"E. G. Puckett","M. Fraters",4,"co-hacks"
"E. G. Puckett","R. Gassmöller",4,"co-hacks"
"E. G. Puckett","S. P. Cox",1,"co-hacks"
"E. G. Puckett","S. Liu",3,"co-hacks"
"E. G. Puckett","T. Rajaonarison",1,"co-hacks"
"E. G. Puckett","T. Heister",4,"co-hacks"
"E. G. Puckett","W. Bangerth",4,"co-hacks"
"E. G. Puckett","Y. He",3,"co-hacks"
"H. Lokavarapu","I. Rose",2,"co-hacks"
"H. Lokavarapu","J. Austermann",2,"co-hacks"
"H. Lokavarapu","J. Naliboff",2,"co-hacks"
"H. Lokavarapu","J. M. Robey",1,"co-hacks"
"H. Lokavarapu","J. Dannberg",2,"co-hacks"
"H. Lokavarapu","L. Hwang",2,"co-hacks"
"H. Lokavarapu","L. H. Kellogg",1,"co-hacks"
"H. Lokavarapu","M. Fraters",2,"co-hacks"
"H. Lokavarapu","R. Gassmöller",2,"co-hacks"
"H. Lokavarapu","S. P. Cox",1,"co-hacks"
"H. Lokavarapu","S. Liu",2,"co-hacks"
"H. Lokavarapu","T. Rajaonarison",1,"co-hacks"
"H. Lokavarapu","T. Heister",2,"co-hacks"
"H. Lokavarapu","W. Bangerth",2,"co-hacks"
"H. Lokavarapu","Y. He",2,"co-hacks"
"I. Rose","J. Austermann",4,"co-hacks"
"I. Rose","J. Naliboff",2,"co-hacks"
"I. Rose","J. M. Robey",1,"co-hacks"
"I. Rose","J. Dannberg",4,"co-hacks"
"I. Rose","L. Hwang",3,"co-hacks"
"I. Rose","L. H. Kellogg",2,"co-hacks"
"I. Rose","M. Fraters",4,"co-hacks"
"I. Rose","R. Gassmöller",4,"co-hacks"
"I. Rose","S. P. Cox",1,"co-hacks"
"I. Rose","S. Liu",3,"co-hacks"
"I. Rose","T. Rajaonarison",1,"co-hacks"
"I. Rose","T. Heister",4,"co-hacks"
"I. Rose","W. Bangerth",4,"co-hacks"
"I. Rose","Y. He",3,"co-hacks"
"J. Austermann","J. Naliboff",3,"co-hacks"
"J. Austermann","J. M. Robey",1,"co-hacks"
"J. Austermann","J. Dannberg",5,"co-hacks"
"J. Austermann","L. Hwang",4,"co-hacks"
"J. Austermann","L. H. Kellogg",2,"co-hacks"
"J. Austermann","M. Fraters",5,"co-hacks"
"J. Austermann","R. Gassmöller",5,"co-hacks"
"J. Austermann","S. P. Cox",1,"co-hacks"
"J. Austermann","S. Liu",3,"co-hacks"
"J. Austermann","T. Rajaonarison",1,"co-hacks"
"J. Austermann","T. Heister",5,"co-hacks"
"J. Austermann","W. Bangerth",5,"co-hacks"
"J. Austermann","Y. He",3,"co-hacks"
"J. Naliboff","J. M. Robey",1,"co-hacks"
"J. Naliboff","J. Dannberg",3,"co-hacks"
"J. Naliboff","L. Hwang",3,"co-hacks"
"J. Naliboff","L. H. Kellogg",1,"co-hacks"
"J. Naliboff","M. Fraters",3,"co-hacks"
"J. Naliboff","R. Gassmöller",3,"co-hacks"
"J. Naliboff","S. P. Cox",1,"co-hacks"
"J. Naliboff","S. Liu",2,"co-hacks"
"J. Naliboff","T. Rajaonarison",1,"co-hacks"
"J. Naliboff","T. Heister",3,"co-hacks"
"J. Naliboff","W. Bangerth",3,"co-hacks"
"J. Naliboff","Y. He",2,"co-hacks"
"J. M. Robey","J. Dannberg",1,"co-hacks"
"J. M. Robey","L. Hwang",1,"co-hacks"
"J. M. Robey","L. H. Kellogg",1,"co-hacks"
"J. M. Robey","M. Fraters",1,"co-hacks"
"J. M. Robey","R. Gassmöller",1,"co-hacks"
"J. M. Robey","S. P. Cox",1,"co-hacks"
"J. M. Robey","S. Liu",1,"co-hacks"
"J. M. Robey","T. Rajaonarison",1,"co-hacks"
"J. M. Robey","T. Heister",1,"co-hacks"
"J. M. Robey","W. Bangerth",1,"co-hacks"
"J. M. Robey","Y. He",1,"co-hacks"
"J. Dannberg","L. Hwang",4,"co-hacks"
"J. Dannberg","L. H. Kellogg",2,"co-hacks"
"J. Dannberg","M. Fraters",5,"co-hacks"
"J. Dannberg","R. Gassmöller",5,"co-hacks"
"J. Dannberg","S. P. Cox",1,"co-hacks"
"J. Dannberg","S. Liu",3,"co-hacks"
"J. Dannberg","T. Rajaonarison",1,"co-hacks"
"J. Dannberg","T. Heister",5,"co-hacks"
"J. Dannberg","W. Bangerth",5,"co-hacks"
"J. Dannberg","Y. He",3,"co-hacks"
"L. Hwang","L. H. Kellogg",2,"co-hacks"
"L. Hwang","M. Fraters",4,"co-hacks"
"L. Hwang","R. Gassmöller",4,"co-hacks"
"L. Hwang","S. P. Cox",1,"co-hacks"
"L. Hwang","S. Liu",3,"co-hacks"
"L. Hwang","T. Rajaonarison",1,"co-hacks"
"L. Hwang","T. Heister",4,"co-hacks"
"L. Hwang","W. Bangerth",4,"co-hacks"
"L. Hwang","Y. He",3,"co-hacks"
"L. H. Kellogg","M. Fraters",2,"co-hacks"
"L. H. Kellogg","R. Gassmöller",2,"co-hacks"
"L. H. Kellogg","S. P. Cox",1,"co-hacks"
"L. H. Kellogg","S. Liu",2,"co-hacks"
"L. H. Kellogg","T. Rajaonarison",1,"co-hacks"
"L. H. Kellogg","T. Heister",2,"co-hacks"
"L. H. Kellogg","W. Bangerth",2,"co-hacks"
"L. H. Kellogg","Y. He",2,"co-hacks"
"M. Fraters","R. Gassmöller",5,"co-hacks"
"M. Fraters","S. P. Cox",1,"co-hacks"
"M. Fraters","S. Liu",3,"co-hacks"
"M. Fraters","T. Rajaonarison",1,"co-hacks"
"M. Fraters","T. Heister",5,"co-hacks"
"M. Fraters","W. Bangerth",5,"co-hacks"
"M. Fraters","Y. He",3,"co-hacks"
"R. Gassmöller","S. P. Cox",1,"co-hacks"
"R. Gassmöller","S. Liu",3,"co-hacks"
"R. Gassmöller","T. Rajaonarison",1,"co-hacks"
"R. Gassmöller","T. Heister",5,"co-hacks"
"R. Gassmöller","W. Bangerth",5,"co-hacks"
"R. Gassmöller","Y. He",3,"co-hacks"
"S. P. Cox","S. Liu",1,"co-hacks"
"S. P. Cox","T. Rajaonarison",1,"co-hacks"
"S. P. Cox","T. Heister",1,"co-hacks"
"S. P. Cox","W. Bangerth",1,"co-hacks"
"S. P. Cox","Y. He",1,"co-hacks"
"S. Liu","T. Rajaonarison",1,"co-hacks"
"S. Liu","T. Heister",3,"co-hacks"
"S. Liu","W. Bangerth",3,"co-hacks"
"S. Liu","Y. He",3,"co-hacks"
"T. Rajaonarison","T. Heister",1,"co-hacks"
"T. Rajaonarison","W. Bangerth",1,"co-hacks"
"T. Rajaonarison","Y. He",1,"co-hacks"
"T. Heister","W. Bangerth",5,"co-hacks"
"T. Heister","Y. He",3,"co-hacks"
"W. Bangerth","Y. He",3,"co-hacks"
"A. Glerum","A. Saxena",2,"co-hacks"
"A. Glerum","B. Myhill",3,"co-hacks"
"A. Glerum","C. Thieulot",5,"co-hacks"
"A. Glerum","E. G. Puckett",4,"co-hacks"
"A. Glerum","H. Lokavarapu",2,"co-hacks"
"A. Glerum","I. Rose",4,"co-hacks"
"A. Glerum","J. Austermann",5,"co-hacks"
"A. Glerum","J. Naliboff",3,"co-hacks"
"A. Glerum","J. Schools",2,"co-hacks"
"A. Glerum","J. Dannberg",5,"co-hacks"
"A. Glerum","L. Hwang",4,"co-hacks"
"A. Glerum","M. Weller",1,"co-hacks"
"A. Glerum","M. Fraters",5,"co-hacks"
"A. Glerum","P. Bremner",2,"co-hacks"
"A. Glerum","R. Gassmöller",5,"co-hacks"
"A. Glerum","R. Grove",3,"co-hacks"
"A. Glerum","S. Liu",3,"co-hacks"
"A. Glerum","T. Heister",5,"co-hacks"
"A. Glerum","W. Bangerth",5,"co-hacks"
"A. Glerum","Y. He",3,"co-hacks"
"A. Saxena","B. Myhill",2,"co-hacks"
"A. Saxena","C. Thieulot",2,"co-hacks"
"A. Saxena","E. G. Puckett",2,"co-hacks"
"A. Saxena","H. Lokavarapu",1,"co-hacks"
"A. Saxena","I. Rose",1,"co-hacks"
"A. Saxena","J. Austermann",2,"co-hacks"
"A. Saxena","J. Naliboff",2,"co-hacks"
"A. Saxena","J. Schools",2,"co-hacks"
"A. Saxena","J. Dannberg",2,"co-hacks"
"A. Saxena","L. Hwang",2,"co-hacks"
"A. Saxena","M. Weller",1,"co-hacks"
"A. Saxena","M. Fraters",2,"co-hacks"
"A. Saxena","P. Bremner",2,"co-hacks"
"A. Saxena","R. Gassmöller",2,"co-hacks"
"A. Saxena","R. Grove",1,"co-hacks"
"A. Saxena","S. Liu",1,"co-hacks"
"A. Saxena","T. Heister",2,"co-hacks"
"A. Saxena","W. Bangerth",2,"co-hacks"
"A. Saxena","Y. He",1,"co-hacks"
"B. Myhill","C. Thieulot",3,"co-hacks"
"B. Myhill","E. G. Puckett",3,"co-hacks"
"B. Myhill","H. Lokavarapu",1,"co-hacks"
"B. Myhill","I. Rose",2,"co-hacks"
"B. Myhill","J. Austermann",3,"co-hacks"
"B. Myhill","J. Naliboff",2,"co-hacks"
"B. Myhill","J. Schools",2,"co-hacks"
"B. Myhill","J. Dannberg",3,"co-hacks"
"B. Myhill","L. Hwang",3,"co-hacks"
"B. Myhill","M. Weller",1,"co-hacks"
"B. Myhill","M. Fraters",3,"co-hacks"
