"Group.1","Group.2","Number_of_relationship_type","Relationship_type"
"B. Myhill","P. Bremner",2,"co-hacks"
"B. Myhill","R. Gassmöller",3,"co-hacks"
"B. Myhill","R. Grove",2,"co-hacks"
"B. Myhill","S. Liu",2,"co-hacks"
"B. Myhill","T. Heister",3,"co-hacks"
"B. Myhill","W. Bangerth",3,"co-hacks"
"B. Myhill","Y. He",2,"co-hacks"
"C. Thieulot","E. G. Puckett",4,"co-hacks"
"C. Thieulot","H. Lokavarapu",2,"co-hacks"
"C. Thieulot","I. Rose",4,"co-hacks"
"C. Thieulot","J. Austermann",5,"co-hacks"
"C. Thieulot","J. Naliboff",3,"co-hacks"
"C. Thieulot","J. Schools",2,"co-hacks"
"C. Thieulot","J. Dannberg",5,"co-hacks"
"C. Thieulot","L. Hwang",4,"co-hacks"
"C. Thieulot","M. Weller",1,"co-hacks"
"C. Thieulot","M. Fraters",5,"co-hacks"
"C. Thieulot","P. Bremner",2,"co-hacks"
"C. Thieulot","R. Gassmöller",5,"co-hacks"
"C. Thieulot","R. Grove",3,"co-hacks"
"C. Thieulot","S. Liu",3,"co-hacks"
"C. Thieulot","T. Heister",5,"co-hacks"
"C. Thieulot","W. Bangerth",5,"co-hacks"
"C. Thieulot","Y. He",3,"co-hacks"
"E. G. Puckett","H. Lokavarapu",2,"co-hacks"
"E. G. Puckett","I. Rose",3,"co-hacks"
"E. G. Puckett","J. Austermann",4,"co-hacks"
"E. G. Puckett","J. Naliboff",3,"co-hacks"
"E. G. Puckett","J. Schools",2,"co-hacks"
"E. G. Puckett","J. Dannberg",4,"co-hacks"
"E. G. Puckett","L. Hwang",4,"co-hacks"
"E. G. Puckett","M. Weller",1,"co-hacks"
"E. G. Puckett","M. Fraters",4,"co-hacks"
"E. G. Puckett","P. Bremner",2,"co-hacks"
"E. G. Puckett","R. Gassmöller",4,"co-hacks"
"E. G. Puckett","R. Grove",2,"co-hacks"
"E. G. Puckett","S. Liu",3,"co-hacks"
"E. G. Puckett","T. Heister",4,"co-hacks"
"E. G. Puckett","W. Bangerth",4,"co-hacks"
"E. G. Puckett","Y. He",3,"co-hacks"
"H. Lokavarapu","I. Rose",2,"co-hacks"
"H. Lokavarapu","J. Austermann",2,"co-hacks"
"H. Lokavarapu","J. Naliboff",2,"co-hacks"
"H. Lokavarapu","J. Schools",1,"co-hacks"
"H. Lokavarapu","J. Dannberg",2,"co-hacks"
"H. Lokavarapu","L. Hwang",2,"co-hacks"
"H. Lokavarapu","M. Weller",1,"co-hacks"
"H. Lokavarapu","M. Fraters",2,"co-hacks"
"H. Lokavarapu","P. Bremner",1,"co-hacks"
"H. Lokavarapu","R. Gassmöller",2,"co-hacks"
"H. Lokavarapu","R. Grove",1,"co-hacks"
"H. Lokavarapu","S. Liu",2,"co-hacks"
"H. Lokavarapu","T. Heister",2,"co-hacks"
"H. Lokavarapu","W. Bangerth",2,"co-hacks"
"H. Lokavarapu","Y. He",2,"co-hacks"
"I. Rose","J. Austermann",4,"co-hacks"
"I. Rose","J. Naliboff",2,"co-hacks"
"I. Rose","J. Schools",1,"co-hacks"
"I. Rose","J. Dannberg",4,"co-hacks"
"I. Rose","L. Hwang",3,"co-hacks"
"I. Rose","M. Weller",1,"co-hacks"
"I. Rose","M. Fraters",4,"co-hacks"
"I. Rose","P. Bremner",1,"co-hacks"
"I. Rose","R. Gassmöller",4,"co-hacks"
"I. Rose","R. Grove",3,"co-hacks"
"I. Rose","S. Liu",3,"co-hacks"
"I. Rose","T. Heister",4,"co-hacks"
"I. Rose","W. Bangerth",4,"co-hacks"
"I. Rose","Y. He",3,"co-hacks"
"J. Austermann","J. Naliboff",3,"co-hacks"
"J. Austermann","J. Schools",2,"co-hacks"
"J. Austermann","J. Dannberg",5,"co-hacks"
"J. Austermann","L. Hwang",4,"co-hacks"
"J. Austermann","M. Weller",1,"co-hacks"
"J. Austermann","M. Fraters",5,"co-hacks"
"J. Austermann","P. Bremner",2,"co-hacks"
"J. Austermann","R. Gassmöller",5,"co-hacks"
"J. Austermann","R. Grove",3,"co-hacks"
"J. Austermann","S. Liu",3,"co-hacks"
"J. Austermann","T. Heister",5,"co-hacks"
"J. Austermann","W. Bangerth",5,"co-hacks"
"J. Austermann","Y. He",3,"co-hacks"
"J. Naliboff","J. Schools",2,"co-hacks"
"J. Naliboff","J. Dannberg",3,"co-hacks"
"J. Naliboff","L. Hwang",3,"co-hacks"
"J. Naliboff","M. Weller",1,"co-hacks"
"J. Naliboff","M. Fraters",3,"co-hacks"
"J. Naliboff","P. Bremner",2,"co-hacks"
"J. Naliboff","R. Gassmöller",3,"co-hacks"
"J. Naliboff","R. Grove",1,"co-hacks"
"J. Naliboff","S. Liu",2,"co-hacks"
"J. Naliboff","T. Heister",3,"co-hacks"
"J. Naliboff","W. Bangerth",3,"co-hacks"
"J. Naliboff","Y. He",2,"co-hacks"
"J. Schools","J. Dannberg",2,"co-hacks"
"J. Schools","L. Hwang",2,"co-hacks"
"J. Schools","M. Weller",1,"co-hacks"
"J. Schools","M. Fraters",2,"co-hacks"
"J. Schools","P. Bremner",2,"co-hacks"
"J. Schools","R. Gassmöller",2,"co-hacks"
"J. Schools","R. Grove",1,"co-hacks"
"J. Schools","S. Liu",1,"co-hacks"
"J. Schools","T. Heister",2,"co-hacks"
"J. Schools","W. Bangerth",2,"co-hacks"
"J. Schools","Y. He",1,"co-hacks"
"J. Dannberg","L. Hwang",4,"co-hacks"
"J. Dannberg","M. Weller",1,"co-hacks"
"J. Dannberg","M. Fraters",5,"co-hacks"
"J. Dannberg","P. Bremner",2,"co-hacks"
"J. Dannberg","R. Gassmöller",5,"co-hacks"
"J. Dannberg","R. Grove",3,"co-hacks"
"J. Dannberg","S. Liu",3,"co-hacks"
"J. Dannberg","T. Heister",5,"co-hacks"
"J. Dannberg","W. Bangerth",5,"co-hacks"
"J. Dannberg","Y. He",3,"co-hacks"
"L. Hwang","M. Weller",1,"co-hacks"
"L. Hwang","M. Fraters",4,"co-hacks"
"L. Hwang","P. Bremner",2,"co-hacks"
"L. Hwang","R. Gassmöller",4,"co-hacks"
"L. Hwang","R. Grove",2,"co-hacks"
"L. Hwang","S. Liu",3,"co-hacks"
"L. Hwang","T. Heister",4,"co-hacks"
"L. Hwang","W. Bangerth",4,"co-hacks"
"L. Hwang","Y. He",3,"co-hacks"
"M. Weller","M. Fraters",1,"co-hacks"
"M. Weller","P. Bremner",1,"co-hacks"
"M. Weller","R. Gassmöller",1,"co-hacks"
"M. Weller","R. Grove",1,"co-hacks"
"M. Weller","S. Liu",1,"co-hacks"
"M. Weller","T. Heister",1,"co-hacks"
"M. Weller","W. Bangerth",1,"co-hacks"
"M. Weller","Y. He",1,"co-hacks"
"M. Fraters","P. Bremner",2,"co-hacks"
"M. Fraters","R. Gassmöller",5,"co-hacks"
"M. Fraters","R. Grove",3,"co-hacks"
"M. Fraters","S. Liu",3,"co-hacks"
"M. Fraters","T. Heister",5,"co-hacks"
"M. Fraters","W. Bangerth",5,"co-hacks"
"M. Fraters","Y. He",3,"co-hacks"
"P. Bremner","R. Gassmöller",2,"co-hacks"
"P. Bremner","R. Grove",1,"co-hacks"
"P. Bremner","S. Liu",1,"co-hacks"
"P. Bremner","T. Heister",2,"co-hacks"
"P. Bremner","W. Bangerth",2,"co-hacks"
"P. Bremner","Y. He",1,"co-hacks"
"R. Gassmöller","R. Grove",3,"co-hacks"
"R. Gassmöller","S. Liu",3,"co-hacks"
"R. Gassmöller","T. Heister",5,"co-hacks"
"R. Gassmöller","W. Bangerth",5,"co-hacks"
"R. Gassmöller","Y. He",3,"co-hacks"
"R. Grove","S. Liu",2,"co-hacks"
"R. Grove","T. Heister",3,"co-hacks"
"R. Grove","W. Bangerth",3,"co-hacks"
"R. Grove","Y. He",2,"co-hacks"
"S. Liu","T. Heister",3,"co-hacks"
"S. Liu","W. Bangerth",3,"co-hacks"
"S. Liu","Y. He",3,"co-hacks"
"T. Heister","W. Bangerth",5,"co-hacks"
"T. Heister","Y. He",3,"co-hacks"
"W. Bangerth","Y. He",3,"co-hacks"
"A. Glerum","A. Saxena",2,"co-hacks"
"A. Glerum","B. Niday",1,"co-hacks"
"A. Glerum","B. Myhill",3,"co-hacks"
"A. Glerum","C. Thieulot",5,"co-hacks"
"A. Glerum","D. Peng",1,"co-hacks"
"A. Glerum","E. G. Puckett",4,"co-hacks"
"A. Glerum","E. Njinju",1,"co-hacks"
"A. Glerum","H. Mark",1,"co-hacks"
"A. Glerum","J. Austermann",5,"co-hacks"
"A. Glerum","J. Naliboff",3,"co-hacks"
"A. Glerum","J. Kay",1,"co-hacks"
"A. Glerum","J. Schools",2,"co-hacks"
"A. Glerum","J. Dannberg",5,"co-hacks"
"A. Glerum","L. Hwang",4,"co-hacks"
"A. Glerum","L. Jeanniot",1,"co-hacks"
"A. Glerum","M. Thomas",1,"co-hacks"
"A. Glerum","M. Fraters",5,"co-hacks"
"A. Glerum","P. Bremner",2,"co-hacks"
"A. Glerum","R. Gassmöller",5,"co-hacks"
"A. Glerum","S. Coulson",1,"co-hacks"
"A. Glerum","T. Heister",5,"co-hacks"
"A. Glerum","W. Wang",1,"co-hacks"
"A. Glerum","W. Bangerth",5,"co-hacks"
"A. Saxena","B. Niday",1,"co-hacks"
"A. Saxena","B. Myhill",2,"co-hacks"
"A. Saxena","C. Thieulot",2,"co-hacks"
"A. Saxena","D. Peng",1,"co-hacks"
"A. Saxena","E. G. Puckett",2,"co-hacks"
"A. Saxena","E. Njinju",1,"co-hacks"
"A. Saxena","H. Mark",1,"co-hacks"
"A. Saxena","J. Austermann",2,"co-hacks"
"A. Saxena","J. Naliboff",2,"co-hacks"
"A. Saxena","J. Kay",1,"co-hacks"
"A. Saxena","J. Schools",2,"co-hacks"
"A. Saxena","J. Dannberg",2,"co-hacks"
"A. Saxena","L. Hwang",2,"co-hacks"
"A. Saxena","L. Jeanniot",1,"co-hacks"
"A. Saxena","M. Thomas",1,"co-hacks"
"A. Saxena","M. Fraters",2,"co-hacks"
"A. Saxena","P. Bremner",2,"co-hacks"
"A. Saxena","R. Gassmöller",2,"co-hacks"
"A. Saxena","S. Coulson",1,"co-hacks"
"A. Saxena","T. Heister",2,"co-hacks"
"A. Saxena","W. Wang",1,"co-hacks"
"A. Saxena","W. Bangerth",2,"co-hacks"
"B. Niday","B. Myhill",1,"co-hacks"
"B. Niday","C. Thieulot",1,"co-hacks"
"B. Niday","D. Peng",1,"co-hacks"
"B. Niday","E. G. Puckett",1,"co-hacks"
"B. Niday","E. Njinju",1,"co-hacks"
"B. Niday","H. Mark",1,"co-hacks"
"B. Niday","J. Austermann",1,"co-hacks"
"B. Niday","J. Naliboff",1,"co-hacks"
"B. Niday","J. Kay",1,"co-hacks"
"B. Niday","J. Schools",1,"co-hacks"
"B. Niday","J. Dannberg",1,"co-hacks"
"B. Niday","L. Hwang",1,"co-hacks"
"B. Niday","L. Jeanniot",1,"co-hacks"
"B. Niday","M. Thomas",1,"co-hacks"
"B. Niday","M. Fraters",1,"co-hacks"
"B. Niday","P. Bremner",1,"co-hacks"
"B. Niday","R. Gassmöller",1,"co-hacks"
"B. Niday","S. Coulson",1,"co-hacks"
"B. Niday","T. Heister",1,"co-hacks"
"B. Niday","W. Wang",1,"co-hacks"
"B. Niday","W. Bangerth",1,"co-hacks"
"B. Myhill","C. Thieulot",3,"co-hacks"
"B. Myhill","D. Peng",1,"co-hacks"
"B. Myhill","E. G. Puckett",3,"co-hacks"
"B. Myhill","E. Njinju",1,"co-hacks"
"B. Myhill","H. Mark",1,"co-hacks"
"B. Myhill","J. Austermann",3,"co-hacks"
"B. Myhill","J. Naliboff",2,"co-hacks"
"B. Myhill","J. Kay",1,"co-hacks"
"B. Myhill","J. Schools",2,"co-hacks"
"B. Myhill","J. Dannberg",3,"co-hacks"
"B. Myhill","L. Hwang",3,"co-hacks"
"B. Myhill","L. Jeanniot",1,"co-hacks"
"B. Myhill","M. Thomas",1,"co-hacks"
"B. Myhill","M. Fraters",3,"co-hacks"
"B. Myhill","P. Bremner",2,"co-hacks"
"B. Myhill","R. Gassmöller",3,"co-hacks"
"B. Myhill","S. Coulson",1,"co-hacks"
"B. Myhill","T. Heister",3,"co-hacks"
"B. Myhill","W. Wang",1,"co-hacks"
"B. Myhill","W. Bangerth",3,"co-hacks"
"C. Thieulot","D. Peng",1,"co-hacks"
"C. Thieulot","E. G. Puckett",4,"co-hacks"
"C. Thieulot","E. Njinju",1,"co-hacks"
"C. Thieulot","H. Mark",1,"co-hacks"
"C. Thieulot","J. Austermann",5,"co-hacks"
"C. Thieulot","J. Naliboff",3,"co-hacks"
"C. Thieulot","J. Kay",1,"co-hacks"
"C. Thieulot","J. Schools",2,"co-hacks"
"C. Thieulot","J. Dannberg",5,"co-hacks"
"C. Thieulot","L. Hwang",4,"co-hacks"
"C. Thieulot","L. Jeanniot",1,"co-hacks"
"C. Thieulot","M. Thomas",1,"co-hacks"
"C. Thieulot","M. Fraters",5,"co-hacks"
"C. Thieulot","P. Bremner",2,"co-hacks"
"C. Thieulot","R. Gassmöller",5,"co-hacks"
"C. Thieulot","S. Coulson",1,"co-hacks"
"C. Thieulot","T. Heister",5,"co-hacks"
"C. Thieulot","W. Wang",1,"co-hacks"
"C. Thieulot","W. Bangerth",5,"co-hacks"
"D. Peng","E. G. Puckett",1,"co-hacks"
"D. Peng","E. Njinju",1,"co-hacks"
"D. Peng","H. Mark",1,"co-hacks"
"D. Peng","J. Austermann",1,"co-hacks"
"D. Peng","J. Naliboff",1,"co-hacks"
"D. Peng","J. Kay",1,"co-hacks"
"D. Peng","J. Schools",1,"co-hacks"
"D. Peng","J. Dannberg",1,"co-hacks"
"D. Peng","L. Hwang",1,"co-hacks"
"D. Peng","L. Jeanniot",1,"co-hacks"
"D. Peng","M. Thomas",1,"co-hacks"
"D. Peng","M. Fraters",1,"co-hacks"
"D. Peng","P. Bremner",1,"co-hacks"
"D. Peng","R. Gassmöller",1,"co-hacks"
"D. Peng","S. Coulson",1,"co-hacks"
"D. Peng","T. Heister",1,"co-hacks"
"D. Peng","W. Wang",1,"co-hacks"
"D. Peng","W. Bangerth",1,"co-hacks"
"E. G. Puckett","E. Njinju",1,"co-hacks"
"E. G. Puckett","H. Mark",1,"co-hacks"
"E. G. Puckett","J. Austermann",4,"co-hacks"
"E. G. Puckett","J. Naliboff",3,"co-hacks"
"E. G. Puckett","J. Kay",1,"co-hacks"
"E. G. Puckett","J. Schools",2,"co-hacks"
"E. G. Puckett","J. Dannberg",4,"co-hacks"
"E. G. Puckett","L. Hwang",4,"co-hacks"
"E. G. Puckett","L. Jeanniot",1,"co-hacks"
"E. G. Puckett","M. Thomas",1,"co-hacks"
"E. G. Puckett","M. Fraters",4,"co-hacks"
"E. G. Puckett","P. Bremner",2,"co-hacks"
"E. G. Puckett","R. Gassmöller",4,"co-hacks"
"E. G. Puckett","S. Coulson",1,"co-hacks"
"E. G. Puckett","T. Heister",4,"co-hacks"
"E. G. Puckett","W. Wang",1,"co-hacks"
"E. G. Puckett","W. Bangerth",4,"co-hacks"
"E. Njinju","H. Mark",1,"co-hacks"
"E. Njinju","J. Austermann",1,"co-hacks"
"E. Njinju","J. Naliboff",1,"co-hacks"
"E. Njinju","J. Kay",1,"co-hacks"
"E. Njinju","J. Schools",1,"co-hacks"
"E. Njinju","J. Dannberg",1,"co-hacks"
"E. Njinju","L. Hwang",1,"co-hacks"
"E. Njinju","L. Jeanniot",1,"co-hacks"
"E. Njinju","M. Thomas",1,"co-hacks"
"E. Njinju","M. Fraters",1,"co-hacks"
"E. Njinju","P. Bremner",1,"co-hacks"
"E. Njinju","R. Gassmöller",1,"co-hacks"
"E. Njinju","S. Coulson",1,"co-hacks"
"E. Njinju","T. Heister",1,"co-hacks"
"E. Njinju","W. Wang",1,"co-hacks"
"E. Njinju","W. Bangerth",1,"co-hacks"
"H. Mark","J. Austermann",1,"co-hacks"
"H. Mark","J. Naliboff",1,"co-hacks"
"H. Mark","J. Kay",1,"co-hacks"
"H. Mark","J. Schools",1,"co-hacks"
"H. Mark","J. Dannberg",1,"co-hacks"
"H. Mark","L. Hwang",1,"co-hacks"
"H. Mark","L. Jeanniot",1,"co-hacks"
"H. Mark","M. Thomas",1,"co-hacks"
"H. Mark","M. Fraters",1,"co-hacks"
"H. Mark","P. Bremner",1,"co-hacks"
"H. Mark","R. Gassmöller",1,"co-hacks"
"H. Mark","S. Coulson",1,"co-hacks"
"H. Mark","T. Heister",1,"co-hacks"
"H. Mark","W. Wang",1,"co-hacks"
"H. Mark","W. Bangerth",1,"co-hacks"
"J. Austermann","J. Naliboff",3,"co-hacks"
"J. Austermann","J. Kay",1,"co-hacks"
"J. Austermann","J. Schools",2,"co-hacks"
"J. Austermann","J. Dannberg",5,"co-hacks"
"J. Austermann","L. Hwang",4,"co-hacks"
"J. Austermann","L. Jeanniot",1,"co-hacks"
"J. Austermann","M. Thomas",1,"co-hacks"
"J. Austermann","M. Fraters",5,"co-hacks"
"J. Austermann","P. Bremner",2,"co-hacks"
"J. Austermann","R. Gassmöller",5,"co-hacks"
"J. Austermann","S. Coulson",1,"co-hacks"
"J. Austermann","T. Heister",5,"co-hacks"
"J. Austermann","W. Wang",1,"co-hacks"
"J. Austermann","W. Bangerth",5,"co-hacks"
"J. Naliboff","J. Kay",1,"co-hacks"
"J. Naliboff","J. Schools",2,"co-hacks"
"J. Naliboff","J. Dannberg",3,"co-hacks"
"J. Naliboff","L. Hwang",3,"co-hacks"
"J. Naliboff","L. Jeanniot",1,"co-hacks"
"J. Naliboff","M. Thomas",1,"co-hacks"
"J. Naliboff","M. Fraters",3,"co-hacks"
"J. Naliboff","P. Bremner",2,"co-hacks"
"J. Naliboff","R. Gassmöller",3,"co-hacks"
"J. Naliboff","S. Coulson",1,"co-hacks"
"J. Naliboff","T. Heister",3,"co-hacks"
"J. Naliboff","W. Wang",1,"co-hacks"
"J. Naliboff","W. Bangerth",3,"co-hacks"
"J. Kay","J. Schools",1,"co-hacks"
"J. Kay","J. Dannberg",1,"co-hacks"
"J. Kay","L. Hwang",1,"co-hacks"
"J. Kay","L. Jeanniot",1,"co-hacks"
"J. Kay","M. Thomas",1,"co-hacks"
"J. Kay","M. Fraters",1,"co-hacks"
"J. Kay","P. Bremner",1,"co-hacks"
"J. Kay","R. Gassmöller",1,"co-hacks"
"J. Kay","S. Coulson",1,"co-hacks"
"J. Kay","T. Heister",1,"co-hacks"
"J. Kay","W. Wang",1,"co-hacks"
"J. Kay","W. Bangerth",1,"co-hacks"
"J. Schools","J. Dannberg",2,"co-hacks"
"J. Schools","L. Hwang",2,"co-hacks"
"J. Schools","L. Jeanniot",1,"co-hacks"
"J. Schools","M. Thomas",1,"co-hacks"
"J. Schools","M. Fraters",2,"co-hacks"
"J. Schools","P. Bremner",2,"co-hacks"
"J. Schools","R. Gassmöller",2,"co-hacks"
"J. Schools","S. Coulson",1,"co-hacks"
"J. Schools","T. Heister",2,"co-hacks"
"J. Schools","W. Wang",1,"co-hacks"
"J. Schools","W. Bangerth",2,"co-hacks"
"J. Dannberg","L. Hwang",4,"co-hacks"
"J. Dannberg","L. Jeanniot",1,"co-hacks"
"J. Dannberg","M. Thomas",1,"co-hacks"
"J. Dannberg","M. Fraters",5,"co-hacks"
"J. Dannberg","P. Bremner",2,"co-hacks"
"J. Dannberg","R. Gassmöller",5,"co-hacks"
"J. Dannberg","S. Coulson",1,"co-hacks"
"J. Dannberg","T. Heister",5,"co-hacks"
"J. Dannberg","W. Wang",1,"co-hacks"
"J. Dannberg","W. Bangerth",5,"co-hacks"
"L. Hwang","L. Jeanniot",1,"co-hacks"
"L. Hwang","M. Thomas",1,"co-hacks"
"L. Hwang","M. Fraters",4,"co-hacks"
"L. Hwang","P. Bremner",2,"co-hacks"
"L. Hwang","R. Gassmöller",4,"co-hacks"
"L. Hwang","S. Coulson",1,"co-hacks"
"L. Hwang","T. Heister",4,"co-hacks"
"L. Hwang","W. Wang",1,"co-hacks"
"L. Hwang","W. Bangerth",4,"co-hacks"
"L. Jeanniot","M. Thomas",1,"co-hacks"
"L. Jeanniot","M. Fraters",1,"co-hacks"
"L. Jeanniot","P. Bremner",1,"co-hacks"
"L. Jeanniot","R. Gassmöller",1,"co-hacks"
"L. Jeanniot","S. Coulson",1,"co-hacks"
"L. Jeanniot","T. Heister",1,"co-hacks"
"L. Jeanniot","W. Wang",1,"co-hacks"
"L. Jeanniot","W. Bangerth",1,"co-hacks"
"M. Thomas","M. Fraters",1,"co-hacks"
"M. Thomas","P. Bremner",1,"co-hacks"
"M. Thomas","R. Gassmöller",1,"co-hacks"
"M. Thomas","S. Coulson",1,"co-hacks"
"M. Thomas","T. Heister",1,"co-hacks"
"M. Thomas","W. Wang",1,"co-hacks"
"M. Thomas","W. Bangerth",1,"co-hacks"
"M. Fraters","P. Bremner",2,"co-hacks"
"M. Fraters","R. Gassmöller",5,"co-hacks"
"M. Fraters","S. Coulson",1,"co-hacks"
"M. Fraters","T. Heister",5,"co-hacks"
"M. Fraters","W. Wang",1,"co-hacks"
"M. Fraters","W. Bangerth",5,"co-hacks"
"P. Bremner","R. Gassmöller",2,"co-hacks"
"P. Bremner","S. Coulson",1,"co-hacks"
"P. Bremner","T. Heister",2,"co-hacks"
"P. Bremner","W. Wang",1,"co-hacks"
"P. Bremner","W. Bangerth",2,"co-hacks"
"R. Gassmöller","S. Coulson",1,"co-hacks"
"R. Gassmöller","T. Heister",5,"co-hacks"
"R. Gassmöller","W. Wang",1,"co-hacks"
"R. Gassmöller","W. Bangerth",5,"co-hacks"
"S. Coulson","T. Heister",1,"co-hacks"
"S. Coulson","W. Wang",1,"co-hacks"
"S. Coulson","W. Bangerth",1,"co-hacks"
"T. Heister","W. Wang",1,"co-hacks"
"T. Heister","W. Bangerth",5,"co-hacks"
"W. Wang","W. Bangerth",1,"co-hacks"
